escena,entrada,gt_People,gt_Lamp,tp_People,tp_Lamp,recupera_People,recupera_Lamp,recupera_ambas
00210,DWT,3,1,1,1,1,1,1
00210,DTCWT,3,1,1,1,1,1,1
00210,Curvelet,3,1,1,1,1,1,1
00210,TopHat_Clasico,3,1,2,1,1,1,1
00210,Propuesta_Novedosa,3,1,2,1,1,1,1
00213,VIS,8,3,3,2,1,1,1
00213,IR,8,3,5,2,1,1,1
00213,PiramideLaplace,8,3,3,2,1,1,1
00213,RatioPiramide,8,3,3,2,1,1,1
00213,DWT,8,3,2,2,1,1,1
00213,DTCWT,8,3,3,2,1,1,1
00213,Curvelet,8,3,4,2,1,1,1
00213,TopHat_Clasico,8,3,2,2,1,1,1
00213,Propuesta_Novedosa,8,3,3,2,1,1,1
00217,VIS,2,1,0,0,0,0,0
00217,IR,2,1,0,0,0,0,0
00217,PiramideLaplace,2,1,0,0,0,0,0
00217,RatioPiramide,2,1,0,0,0,0,0
00217,DWT,2,1,0,1,0,1,0
00217,DTCWT,2,1,0,0,0,0,0
00217,Curvelet,2,1,0,0,0,0,0
00217,TopHat_Clasico,2,1,0,0,0,0,0
00217,Propuesta_Novedosa,2,1,0,0,0,0,0
00222,VIS,9,7,1,5,1,1,1
00222,IR,9,7,7,1,1,1,1
00222,PiramideLaplace,9,7,7,4,1,1,1
00222,RatioPiramide,9,7,7,3,1,1,1
00222,DWT,9,7,6,3,1,1,1
00222,DTCWT,9,7,7,3,1,1,1
00222,Curvelet,9,7,6,5,1,1,1
00222,TopHat_Clasico,9,7,7,3,1,1,1
00222,Propuesta_Novedosa,9,7,6,3,1,1,1
00231,VIS,12,5,2,3,1,1,1
00231,IR,12,5,8,1,1,1,1
00231,PiramideLaplace,12,5,8,3,1,1,1
00231,RatioPiramide,12,5,8,3,1,1,1
00231,DWT,12,5,7,3,1,1,1
00231,DTCWT,12,5,8,5,1,1,1
00231,Curvelet,12,5,6,2,1,1,1
00231,TopHat_Clasico,12,5,8,3,1,1,1
00231,Propuesta_Novedosa,12,5,8,3,1,1,1
00232,VIS,12,6,1,3,1,1,1
00232,IR,12,6,7,1,1,1,1
00232,PiramideLaplace,12,6,4,3,1,1,1
00232,RatioPiramide,12,6,5,3,1,1,1
00232,DWT,12,6,3,2,1,1,1
00232,DTCWT,12,6,4,3,1,1,1
00232,Curvelet,12,6,3,3,1,1,1
00232,TopHat_Clasico,12,6,3,2,1,1,1
00232,Propuesta_Novedosa,12,6,4,2,1,1,1
00240,VIS,7,5,3,0,1,0,0
00240,IR,7,5,5,1,1,1,1
00240,PiramideLaplace,7,5,5,0,1,0,0
00240,RatioPiramide,7,5,5,0,1,0,0
00240,DWT,7,5,4,0,1,0,0
00240,DTCWT,7,5,5,1,1,1,1
00240,Curvelet,7,5,5,0,1,0,0
00240,TopHat_Clasico,7,5,3,0,1,0,0
00240,Propuesta_Novedosa,7,5,3,0,1,0,0
00388,VIS,10,1,1,1,1,1,1
00388,IR,10,1,10,1,1,1,1
00388,PiramideLaplace,10,1,9,0,1,0,0
00388,RatioPiramide,10,1,9,1,1,1,1
00388,DWT,10,1,8,0,1,0,0
00388,DTCWT,10,1,9,0,1,0,0
00388,Curvelet,10,1,9,0,1,0,0
00388,TopHat_Clasico,10,1,10,1,1,1,1
00388,Propuesta_Novedosa,10,1,10,1,1,1,1
00389,VIS,10,2,4,1,1,1,1
00389,IR,10,2,10,1,1,1,1
00389,PiramideLaplace,10,2,9,1,1,1,1
00389,RatioPiramide,10,2,9,1,1,1,1
00389,DWT,10,2,9,1,1,1,1
00389,DTCWT,10,2,9,2,1,1,1
00389,Curvelet,10,2,9,1,1,1,1
00389,TopHat_Clasico,10,2,9,1,1,1,1
00389,Propuesta_Novedosa,10,2,9,1,1,1,1
00392,VIS,4,2,1,2,1,1,1
00392,IR,4,2,4,2,1,1,1
00392,PiramideLaplace,4,2,3,2,1,1,1
