r,m,clave,detectado
5,0.1,2058|People|1,1
5,0.1,2058|Lamp|0,1
5,0.1,2058|Lamp|1,0
5,0.1,2058|Lamp|2,1
5,0.1,2058|Lamp|3,0
5,0.1,2058|Lamp|4,0
5,0.1,2058|Lamp|5,0
5,0.1,2059|People|0,1
5,0.1,2059|People|1,0
5,0.1,2059|Lamp|0,1
5,0.1,2059|Lamp|1,0
5,0.1,2059|Lamp|2,0
5,0.1,2059|Lamp|3,0
5,0.1,2061|People|0,1
5,0.1,2061|People|1,1
5,0.1,2061|Lamp|0,1
5,0.1,2061|Lamp|1,0
5,0.1,2061|Lamp|2,0
5,0.1,2061|Lamp|3,1
5,0.1,2061|Lamp|4,0
5,0.1,2061|Lamp|5,0
5,0.1,2065|People|0,1
5,0.1,2065|People|1,1
5,0.1,2065|Lamp|0,1
5,0.1,2065|Lamp|1,0
5,0.1,2065|Lamp|2,1
5,0.1,2065|Lamp|3,0
5,0.1,2065|Lamp|4,0
5,0.1,2065|Lamp|5,1
5,0.1,2067|People|0,1
5,0.1,2067|People|1,0
5,0.1,2067|Lamp|0,1
5,0.1,2067|Lamp|1,0
5,0.1,2067|Lamp|2,0
5,0.1,2067|Lamp|3,1
5,0.1,2068|People|0,1
5,0.1,2068|People|1,0
5,0.1,2068|Lamp|0,1
5,0.1,2068|Lamp|1,1
5,0.1,2068|Lamp|2,0
5,0.1,2068|Lamp|3,0
5,0.1,2069|People|0,1
5,0.1,2069|People|1,1
5,0.1,2069|Lamp|0,1
5,0.1,2069|Lamp|1,1
5,0.1,2069|Lamp|2,0
5,0.1,2069|Lamp|3,0
5,0.1,2069|Lamp|4,0
5,0.1,2069|Lamp|5,0
5,0.1,2070|People|0,1
5,0.1,2070|People|1,0
5,0.1,2070|Lamp|0,1
5,0.1,2070|Lamp|1,0
5,0.1,2070|Lamp|2,1
5,0.1,2070|Lamp|3,1
5,0.1,2072|People|0,1
5,0.1,2072|People|1,1
5,0.1,2072|Lamp|0,1
5,0.1,2072|Lamp|1,0
5,0.1,2072|Lamp|2,1
5,0.1,2072|Lamp|3,0
5,0.1,2072|Lamp|4,0
5,0.1,2072|Lamp|5,1
5,0.1,2073|People|0,1
5,0.1,2073|People|1,0
5,0.1,2073|Lamp|0,1
5,0.1,2073|Lamp|1,0
5,0.1,2073|Lamp|2,1
5,0.1,2073|Lamp|3,0
5,0.1,2073|Lamp|4,0
5,0.1,2073|Lamp|5,1
5,0.1,2074|People|0,1
5,0.1,2074|People|1,0
5,0.1,2074|Lamp|0,1
5,0.1,2074|Lamp|1,0
5,0.1,2074|Lamp|2,0
5,0.1,2074|Lamp|3,0
