r,m,Fo
4,1.54,1.3822367011595535
4,1.55,1.380884667979407
4,1.56,1.3795090184672063
4,1.57,1.3781662139843558
4,1.58,1.3768121750793438
4,1.59,1.37547140673116
4,1.6,1.3741424283903132
4,1.61,1.372869712764076
4,1.62,1.3715500796622286
4,1.63,1.3702546738382742
4,1.64,1.3689503604645186
4,1.65,1.3676815371311697
4,1.66,1.3664189268783649
4,1.67,1.365137106154285
4,1.68,1.3638685692724486
4,1.69,1.3626209263536755
4,1.7,1.3613848261509824
4,1.71,1.360108774775795
4,1.72,1.3588724180042868
4,1.73,1.3576466319464944
4,1.74,1.3564265356224865
4,1.75,1.3552116994590448
4,1.76,1.35400794120576
4,1.77,1.3528247305971075
4,1.78,1.3516204564383587
4,1.79,1.3504394742341093
4,1.8,1.349258051527819
4,1.81,1.348124656409191
4,1.82,1.3469698768124208
4,1.83,1.3458239583703488
4,1.84,1.3446780329221275
4,1.85,1.343543396987271
4,1.86,1.342416044418467
4,1.87,1.341273068817803
4,1.88,1.3401538267912425
4,1.89,1.3390512546875808
4,1.9,1.337909608607933
4,1.91,1.3367922172175606
4,1.92,1.3356714121383764
4,1.93,1.3345493759655442
4,1.94,1.3334385414860275
4,1.95,1.3323350034352404
4,1.96,1.331264942282137
4,1.97,1.33016165368356
4,1.98,1.3290429526292449
4,1.99,1.328077717909087
4,2.0,1.327001745527627
5,0.01,1.7601357675949139
5,0.02,1.7616297729920862
5,0.03,1.7627794978100944
5,0.04,1.7635829255219118
5,0.05,1.7639860557458424
5,0.06,1.7640174001575482
5,0.07,1.7636565578886614
5,0.08,1.762953505330529
5,0.09,1.761962305957929
5,0.1,1.7606676561756736
5,0.11,1.7591307116474078
5,0.12,1.7573450656845901
5,0.13,1.7553467679160635
5,0.14,1.7531267371491481
5,0.15,1.7506695604449822
5,0.16,1.74800425754911
5,0.17,1.7451011058283818
5,0.18,1.7420521875353392
5,0.19,1.738853934692294
5,0.2,1.7355688461157666
5,0.21,1.732253940014834
5,0.22,1.728793584399418
5,0.23,1.7252108963488935
5,0.24,1.7215174484004037
5,0.25,1.7177447755649151
5,0.26,1.7139347569803853
5,0.27,1.7100993263742907
5,0.28,1.7062597130219457
5,0.29,1.7023803286180472
5,0.3,1.6984780255793481
5,0.31,1.6945640899929544
5,0.32,1.6906342075778953
5,0.33,1.6866776093820646
5,0.34,1.6827107582333307
5,0.35,1.6787233321910922
5,0.36,1.6747287413682745
5,0.37,1.6707286226072815
5,0.38,1.6667396481154377
5,0.39,1.6627571922582085
5,0.4,1.6587390988788269
5,0.41,1.6547777447355554
5,0.42,1.6508223293590103
5,0.43,1.6468636482613002
5,0.44,1.6429371562802173
5,0.45,1.6390305310498547
5,0.46,1.635134031263384
5,0.47,1.6312647807095366
5,0.48,1.6274109951451294
5,0.49,1.623594829487397
5,0.5,1.6197540085896964
5,0.51,1.616021010463345
5,0.52,1.6122688688465032
5,0.53,1.6085429574025352
5,0.54,1.6048450436302215
5,0.55,1.601174676035517
5,0.56,1.5975346504881915
5,0.57,1.5939325316422197
5,0.58,1.5903552423478555
5,0.59,1.5868195097718407
5,0.6,1.5832755742594171
5,0.61,1.5798057346476195
5,0.62,1.576352314580862
5,0.63,1.5729320104811464
5,0.64,1.5695278824299006
5,0.65,1.5661835634694965
5,0.66,1.5628424620831334
5,0.67,1.5595494239091592
5,0.68,1.5562954612925253
5,0.69,1.553079510553512
5,0.7,1.549868216987459
5,0.71,1.5466999581410832
5,0.72,1.5435735399802315
5,0.73,1.5404913060581977
5,0.74,1.5374293771374672
5,0.75,1.5344038352350102
5,0.76,1.5314329016189412
5,0.77,1.5284836053327255
5,0.78,1.5255558933155846
5,0.79,1.5226619539219393
5,0.8,1.5197709373524777
5,0.81,1.5169623354547952
5,0.82,1.514157358013249
5,0.83,1.5113954085504337
5,0.84,1.5086655078968443
5,0.85,1.5059654936613152
5,0.86,1.5032945096591108
5,0.87,1.5006485785219297
5,0.88,1.4980216865589024
5,0.89,1.4954338725393612
5,0.9,1.4928729206367208
5,0.91,1.4903548722117268
5,0.92,1.4878541020001876
5,0.93,1.485387206127036
5,0.94,1.4829429032258747
5,0.95,1.4805167252965106
5,0.96,1.4781234839482373
5,0.97,1.4757597469633694
5,0.98,1.4734250533747222
5,0.99,1.4711276669597877
5,1.0,1.4687419485828768
5,1.01,1.4665627169957383
5,1.02,1.4643150528833475
5,1.03,1.4620876329745496
5,1.04,1.4599036948756574
5,1.05,1.4577343178821305
5,1.06,1.4555843328377274
5,1.07,1.4534784782335375
5,1.08,1.4513902488906527
5,1.09,1.4493152272092196
5,1.1,1.4472559752162582
5,1.11,1.4452188053350448
5,1.12,1.443187135956302
5,1.13,1.4412100274117556
5,1.14,1.4392155330734553
5,1.15,1.4372637533067882
5,1.16,1.4353291141061142
5,1.17,1.433397457386851
5,1.18,1.4315016109490184
5,1.19,1.4296209665723474
5,1.2,1.427744902586227
5,1.21,1.4259045755334316
5,1.22,1.4240727105665982
5,1.23,1.4222573978449218
5,1.24,1.4204494242335943
5,1.25,1.4186602992739328
5,1.26,1.41690121648666
5,1.27,1.4151526404047725
5,1.28,1.4134084025871985
5,1.29,1.411676974025653
5,1.3,1.409965326277051
5,1.31,1.408277195274825
5,1.32,1.406590905165622
5,1.33,1.404928152438396
5,1.34,1.4032733736043699
5,1.35,1.4016221828402713
5,1.36,1.4000006148512396
5,1.37,1.398389765915491
5,1.38,1.3967894635437226
5,1.39,1.3952111891724062
5,1.4,1.3936323885582373
5,1.41,1.3920684590953503
5,1.42,1.390519732433517
5,1.43,1.3889769676161663
5,1.44,1.3874359360154438
