imagen,particulas,iteraciones,r,m,SSIM_avg,E,SF,SD,PSNR,FO
Athena_2_men_in_front_of_house_meting003,2,10,1,0.8813,0.659668,6.578925,15.756568,0.099626,15.736995,1.639403
Athena_2_men_in_front_of_house_meting003,2,20,8,0.0672,0.759651,6.521974,8.506877,0.096709,15.852283,1.73342
Athena_2_men_in_front_of_house_meting003,2,30,1,0.8388,0.667388,6.570359,15.311266,0.099181,15.747621,1.646161
Athena_2_men_in_front_of_house_meting003,2,40,25,0.01,0.763533,6.467176,6.935486,0.092961,15.870222,1.730632
Athena_2_men_in_front_of_house_meting003,2,50,25,0.1033,0.750377,6.698128,9.819384,0.108624,15.773689,1.745382
Athena_2_men_in_front_of_house_meting003,4,10,25,0.01,0.763533,6.467176,6.935486,0.092961,15.870222,1.730632
Athena_2_men_in_front_of_house_meting003,4,20,25,0.1033,0.750371,6.698186,9.820067,0.108628,15.773649,1.745382
Athena_2_men_in_front_of_house_meting003,4,30,25,0.1028,0.750501,6.697092,9.805476,0.108545,15.774515,1.745386
Athena_2_men_in_front_of_house_meting003,4,40,25,0.1044,0.750068,6.700786,9.853994,0.108822,15.77162,1.745382
Athena_2_men_in_front_of_house_meting003,4,50,25,0.01,0.763533,6.467176,6.935486,0.092961,15.870222,1.730632
Athena_2_men_in_front_of_house_meting003,6,10,25,0.1037,0.750249,6.699218,9.833779,0.108706,15.772831,1.745378
Athena_2_men_in_front_of_house_meting003,6,20,25,0.1024,0.750617,6.696083,9.792399,0.108471,15.775288,1.745381
Athena_2_men_in_front_of_house_meting003,6,30,25,0.1028,0.750519,6.696929,9.80341,0.108533,15.774637,1.745386
Athena_2_men_in_front_of_house_meting003,6,40,1,0.0775,0.763226,6.453183,7.398169,0.092038,15.869285,1.728567
Athena_2_men_in_front_of_house_meting003,6,50,25,0.1028,0.750521,6.696918,9.803245,0.108532,15.774647,1.745386
Athena_2_men_in_front_of_house_meting003,8,10,25,0.103,0.750463,6.697405,9.809756,0.108569,15.774261,1.74538
Athena_2_men_in_front_of_house_meting003,8,20,25,0.1023,0.750634,6.695945,9.79039,0.108459,15.775406,1.745382
Athena_2_men_in_front_of_house_meting003,8,30,25,0.1028,0.750508,6.697057,9.804724,0.108541,15.774559,1.745386
Athena_2_men_in_front_of_house_meting003,8,40,25,0.1044,0.750073,6.700735,9.85336,0.108818,15.771659,1.745382
Athena_2_men_in_front_of_house_meting003,8,50,25,0.1044,0.75007,6.700763,9.853728,0.10882,15.771636,1.745382
Athena_2_men_in_front_of_house_meting003,10,10,25,0.1023,0.750654,6.695773,9.788121,0.108446,15.77554,1.745382
Athena_2_men_in_front_of_house_meting003,10,20,25,0.1023,0.750653,6.695796,9.788327,0.108447,15.775528,1.745382
Athena_2_men_in_front_of_house_meting003,10,30,25,0.1044,0.750077,6.700711,9.852938,0.108816,15.771684,1.745382
Athena_2_men_in_front_of_house_meting003,10,40,25,0.1028,0.750518,6.696933,9.803511,0.108534,15.774631,1.745386
Athena_2_men_in_front_of_house_meting003,10,50,25,0.1028,0.750518,6.696935,9.803546,0.108534,15.774629,1.745386
Athena_APC_4_fennek01_005,2,10,25,0.1241,0.783889,5.860051,8.657247,0.056347,22.776664,1.744163
Athena_APC_4_fennek01_005,2,20,22,0.1186,0.786218,5.831184,8.510149,0.055269,22.809583,1.743212
Athena_APC_4_fennek01_005,2,30,25,0.01,0.805211,5.44787,5.690538,0.042117,23.048649,1.716681
Athena_APC_4_fennek01_005,2,40,23,0.1218,0.784963,5.844528,8.594295,0.055775,22.794006,1.743468
Athena_APC_4_fennek01_005,2,50,1,0.1152,0.802987,5.464284,6.988377,0.042619,23.034872,1.716375
Athena_APC_4_fennek01_005,4,10,25,0.01,0.805211,5.44787,5.690538,0.042117,23.048649,1.716681
Athena_APC_4_fennek01_005,4,20,23,0.1216,0.785047,5.843811,8.588196,0.055745,22.794951,1.743471
Athena_APC_4_fennek01_005,4,30,25,0.1214,0.784878,5.851311,8.586583,0.055999,22.788004,1.744174
Athena_APC_4_fennek01_005,4,40,25,0.1214,0.784899,5.851127,8.58507,0.055992,22.788245,1.744174
Athena_APC_4_fennek01_005,4,50,25,0.1225,0.784476,5.854896,8.615476,0.056142,22.783393,1.744171
Athena_APC_4_fennek01_005,6,10,25,0.1193,0.785654,5.844299,8.530318,0.055722,22.796882,1.744159
Athena_APC_4_fennek01_005,6,20,25,0.1238,0.783988,5.859178,8.650253,0.056313,22.777796,1.744165
Athena_APC_4_fennek01_005,6,30,1,0.1152,0.802989,5.464285,6.987929,0.042619,23.034881,1.716375
Athena_APC_4_fennek01_005,6,40,25,0.1216,0.784799,5.852014,8.592305,0.056027,22.787094,1.744172
